Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Slovakia,Slovakia,SK,224.13,265.23,70.73,17.39,entsoe.eu,False,
2021-01-01 01:00:00,Slovakia,Slovakia,SK,226.38,267.84,70.35,16.93,entsoe.eu,False,
2021-01-01 02:00:00,Slovakia,Slovakia,SK,228.76,270.39,70.2,16.87,entsoe.eu,False,
2021-01-01 03:00:00,Slovakia,Slovakia,SK,232.75,274.63,69.86,16.5,entsoe.eu,False,
2021-01-01 04:00:00,Slovakia,Slovakia,SK,215.75,256.2,71.44,16.5,entsoe.eu,False,
2021-01-01 05:00:00,Slovakia,Slovakia,SK,210.9,252.73,70.39,16.59,entsoe.eu,False,
2021-01-01 06:00:00,Slovakia,Slovakia,SK,204.92,248.66,68.8,17.07,entsoe.eu,False,
2021-01-01 07:00:00,Slovakia,Slovakia,SK,201.83,246.02,68.19,17.11,entsoe.eu,False,
2021-01-01 08:00:00,Slovakia,Slovakia,SK,193.61,236.74,68.68,17.66,entsoe.eu,False,
2021-01-01 09:00:00,Slovakia,Slovakia,SK,189.23,232.06,69.23,18.54,entsoe.eu,False,
2021-01-01 10:00:00,Slovakia,Slovakia,SK,178.62,220.18,69.67,18.21,entsoe.eu,False,
2021-01-01 11:00:00,Slovakia,Slovakia,SK,175.12,217.13,69.94,18.24,entsoe.eu,False,
2021-01-01 12:00:00,Slovakia,Slovakia,SK,173.54,215.71,69.99,18.1,entsoe.eu,False,
2021-01-01 13:00:00,Slovakia,Slovakia,SK,190.23,234.52,68.41,17.38,entsoe.eu,False,
2021-01-01 14:00:00,Slovakia,Slovakia,SK,188.54,232.77,68.39,17.37,entsoe.eu,False,
2021-01-01 15:00:00,Slovakia,Slovakia,SK,198.76,244.35,67.63,18.64,entsoe.eu,False,
2021-01-01 16:00:00,Slovakia,Slovakia,SK,211.28,257.83,66.52,18.97,entsoe.eu,False,
2021-01-01 17:00:00,Slovakia,Slovakia,SK,212.79,259.55,66.21,18.29,entsoe.eu,False,
2021-01-01 18:00:00,Slovakia,Slovakia,SK,224.02,271.64,65.14,17.72,entsoe.eu,False,
2021-01-01 19:00:00,Slovakia,Slovakia,SK,231.29,279.48,64.49,16.85,entsoe.eu,False,
2021-01-01 20:00:00,Slovakia,Slovakia,SK,226.7,275.02,64.59,15.84,entsoe.eu,False,
2021-01-01 21:00:00,Slovakia,Slovakia,SK,245.11,294.92,62.93,15.35,entsoe.eu,False,
2021-01-01 22:00:00,Slovakia,Slovakia,SK,248.14,298.17,62.72,15.1,entsoe.eu,False,
2021-01-01 23:00:00,Slovakia,Slovakia,SK,263.22,314.47,61.26,13.37,entsoe.eu,False,
2021-01-02 00:00:00,Slovakia,Slovakia,SK,259.25,309.54,62.2,13.48,entsoe.eu,False,
2021-01-02 01:00:00,Slovakia,Slovakia,SK,255.98,305.93,62.55,13.42,entsoe.eu,False,
2021-01-02 02:00:00,Slovakia,Slovakia,SK,254.12,303.83,62.71,12.79,entsoe.eu,False,
2021-01-02 03:00:00,Slovakia,Slovakia,SK,248.47,297.63,63.27,12.84,entsoe.eu,False,
2021-01-02 04:00:00,Slovakia,Slovakia,SK,243.75,293.24,63.16,12.95,entsoe.eu,False,
2021-01-02 05:00:00,Slovakia,Slovakia,SK,234.39,283.33,63.87,14.27,entsoe.eu,False,
2021-01-02 06:00:00,Slovakia,Slovakia,SK,224.29,272.27,65.01,16.34,entsoe.eu,False,
2021-01-02 07:00:00,Slovakia,Slovakia,SK,230.32,278.58,64.63,16.4,entsoe.eu,False,
2021-01-02 08:00:00,Slovakia,Slovakia,SK,216.09,263.07,66.05,17.73,entsoe.eu,False,
2021-01-02 09:00:00,Slovakia,Slovakia,SK,209.85,255.74,66.69,18.15,entsoe.eu,False,
2021-01-02 10:00:00,Slovakia,Slovakia,SK,210.69,255.88,66.74,18.35,entsoe.eu,False,
2021-01-02 11:00:00,Slovakia,Slovakia,SK,210.2,255.48,66.75,18.32,entsoe.eu,False,
2021-01-02 12:00:00,Slovakia,Slovakia,SK,215.81,262.19,66.08,18.1,entsoe.eu,False,
2021-01-02 13:00:00,Slovakia,Slovakia,SK,222.62,270.2,65.35,17.29,entsoe.eu,False,
2021-01-02 14:00:00,Slovakia,Slovakia,SK,210.48,256.98,66.37,17.75,entsoe.eu,False,
2021-01-02 15:00:00,Slovakia,Slovakia,SK,211.84,258.18,66.51,19.22,entsoe.eu,False,
2021-01-02 16:00:00,Slovakia,Slovakia,SK,223.02,269.21,66.36,20.35,entsoe.eu,False,
2021-01-02 17:00:00,Slovakia,Slovakia,SK,217.03,262.7,67.01,20.79,entsoe.eu,False,
2021-01-02 18:00:00,Slovakia,Slovakia,SK,232.47,280.18,64.99,18.52,entsoe.eu,False,
2021-01-02 19:00:00,Slovakia,Slovakia,SK,253.25,302.58,62.95,16.72,entsoe.eu,False,
2021-01-02 20:00:00,Slovakia,Slovakia,SK,248.16,298.03,63.03,14.96,entsoe.eu,False,
2021-01-02 21:00:00,Slovakia,Slovakia,SK,234.09,282.85,64.05,14.52,entsoe.eu,False,
2021-01-02 22:00:00,Slovakia,Slovakia,SK,227.26,275.76,64.35,13.6,entsoe.eu,False,
2021-01-02 23:00:00,Slovakia,Slovakia,SK,234.81,284.31,63.72,11.15,entsoe.eu,False,
2021-01-03 00:00:00,Slovakia,Slovakia,SK,257.42,307.68,62.57,11.28,entsoe.eu,False,
2021-01-03 01:00:00,Slovakia,Slovakia,SK,257.03,306.34,63.42,11.6,entsoe.eu,False,
2021-01-03 02:00:00,Slovakia,Slovakia,SK,256.39,305.67,63.6,11.71,entsoe.eu,False,
2021-01-03 03:00:00,Slovakia,Slovakia,SK,263.26,313.22,62.88,12.07,entsoe.eu,False,
2021-01-03 04:00:00,Slovakia,Slovakia,SK,262.57,312.6,62.81,12.23,entsoe.eu,False,
2021-01-03 05:00:00,Slovakia,Slovakia,SK,254.34,303.56,63.62,12.85,entsoe.eu,False,
2021-01-03 06:00:00,Slovakia,Slovakia,SK,247.83,295.85,64.76,15.59,entsoe.eu,False,
2021-01-03 07:00:00,Slovakia,Slovakia,SK,238.0,286.0,65.17,16.7,entsoe.eu,False,
2021-01-03 08:00:00,Slovakia,Slovakia,SK,248.1,297.31,63.97,16.9,entsoe.eu,False,
2021-01-03 09:00:00,Slovakia,Slovakia,SK,225.67,274.38,65.05,17.15,entsoe.eu,False,
2021-01-03 10:00:00,Slovakia,Slovakia,SK,221.22,268.81,65.83,19.78,entsoe.eu,False,
2021-01-03 11:00:00,Slovakia,Slovakia,SK,207.35,253.41,67.44,21.61,entsoe.eu,False,
2021-01-03 12:00:00,Slovakia,Slovakia,SK,239.5,288.22,64.04,17.33,entsoe.eu,False,
2021-01-03 13:00:00,Slovakia,Slovakia,SK,238.4,287.35,63.9,17.25,entsoe.eu,False,
2021-01-03 14:00:00,Slovakia,Slovakia,SK,254.37,303.25,62.67,16.4,entsoe.eu,False,
2021-01-03 15:00:00,Slovakia,Slovakia,SK,282.18,329.11,61.21,16.88,entsoe.eu,False,
2021-01-03 16:00:00,Slovakia,Slovakia,SK,285.43,332.43,61.66,19.81,entsoe.eu,False,
2021-01-03 17:00:00,Slovakia,Slovakia,SK,281.33,328.57,62.22,21.11,entsoe.eu,False,
2021-01-03 18:00:00,Slovakia,Slovakia,SK,271.44,318.81,62.58,19.72,entsoe.eu,False,
2021-01-03 19:00:00,Slovakia,Slovakia,SK,274.86,322.36,61.91,17.2,entsoe.eu,False,
2021-01-03 20:00:00,Slovakia,Slovakia,SK,269.85,319.24,61.27,14.45,entsoe.eu,False,
2021-01-03 21:00:00,Slovakia,Slovakia,SK,253.73,304.27,62.03,13.01,entsoe.eu,False,
2021-01-03 22:00:00,Slovakia,Slovakia,SK,240.55,290.21,63.69,12.97,entsoe.eu,False,
2021-01-03 23:00:00,Slovakia,Slovakia,SK,238.33,286.76,64.66,12.32,entsoe.eu,False,
2021-01-04 00:00:00,Slovakia,Slovakia,SK,239.22,287.76,64.56,11.92,entsoe.eu,False,
2021-01-04 01:00:00,Slovakia,Slovakia,SK,248.07,297.69,63.39,11.98,entsoe.eu,False,
2021-01-04 02:00:00,Slovakia,Slovakia,SK,247.98,297.56,63.36,11.87,entsoe.eu,False,
2021-01-04 03:00:00,Slovakia,Slovakia,SK,243.91,293.48,63.55,11.7,entsoe.eu,False,
2021-01-04 04:00:00,Slovakia,Slovakia,SK,270.23,321.11,61.22,11.39,entsoe.eu,False,
2021-01-04 05:00:00,Slovakia,Slovakia,SK,289.46,339.34,59.13,11.8,entsoe.eu,False,
2021-01-04 06:00:00,Slovakia,Slovakia,SK,294.36,341.21,59.92,15.59,entsoe.eu,False,
2021-01-04 07:00:00,Slovakia,Slovakia,SK,290.36,335.83,60.88,18.5,entsoe.eu,False,
2021-01-04 08:00:00,Slovakia,Slovakia,SK,277.75,321.17,62.09,18.67,entsoe.eu,False,
2021-01-04 09:00:00,Slovakia,Slovakia,SK,278.76,322.46,61.96,19.07,entsoe.eu,False,
2021-01-04 10:00:00,Slovakia,Slovakia,SK,295.67,339.62,60.98,18.59,entsoe.eu,False,
2021-01-04 11:00:00,Slovakia,Slovakia,SK,292.48,336.95,61.34,18.91,entsoe.eu,False,
2021-01-04 12:00:00,Slovakia,Slovakia,SK,269.74,315.05,61.79,16.56,entsoe.eu,False,
2021-01-04 13:00:00,Slovakia,Slovakia,SK,273.14,318.3,61.31,15.52,entsoe.eu,False,
2021-01-04 14:00:00,Slovakia,Slovakia,SK,286.37,331.31,61.09,17.0,entsoe.eu,False,
2021-01-04 15:00:00,Slovakia,Slovakia,SK,312.1,356.1,60.49,19.97,entsoe.eu,False,
2021-01-04 16:00:00,Slovakia,Slovakia,SK,296.22,338.87,62.99,23.37,entsoe.eu,False,
2021-01-04 17:00:00,Slovakia,Slovakia,SK,280.32,322.54,64.12,23.21,entsoe.eu,False,
2021-01-04 18:00:00,Slovakia,Slovakia,SK,285.86,330.54,61.39,19.03,entsoe.eu,False,
2021-01-04 19:00:00,Slovakia,Slovakia,SK,304.3,351.0,58.59,14.52,entsoe.eu,False,
2021-01-04 20:00:00,Slovakia,Slovakia,SK,279.0,325.86,60.05,13.19,entsoe.eu,False,
2021-01-04 21:00:00,Slovakia,Slovakia,SK,264.37,311.93,60.99,11.19,entsoe.eu,False,
2021-01-04 22:00:00,Slovakia,Slovakia,SK,226.58,275.14,63.9,11.48,entsoe.eu,False,
2021-01-04 23:00:00,Slovakia,Slovakia,SK,194.78,241.02,67.03,10.98,entsoe.eu,False,
2021-01-05 00:00:00,Slovakia,Slovakia,SK,214.52,261.91,65.64,10.89,entsoe.eu,False,
2021-01-05 01:00:00,Slovakia,Slovakia,SK,219.55,266.72,65.84,11.07,entsoe.eu,False,
2021-01-05 02:00:00,Slovakia,Slovakia,SK,219.93,266.94,65.98,11.07,entsoe.eu,False,
2021-01-05 03:00:00,Slovakia,Slovakia,SK,226.37,275.56,64.46,11.06,entsoe.eu,False,
2021-01-05 04:00:00,Slovakia,Slovakia,SK,230.32,280.5,64.19,11.18,entsoe.eu,False,
2021-01-05 05:00:00,Slovakia,Slovakia,SK,253.24,303.81,61.87,12.51,entsoe.eu,False,
2021-01-05 06:00:00,Slovakia,Slovakia,SK,257.76,306.0,61.78,14.88,entsoe.eu,False,
2021-01-05 07:00:00,Slovakia,Slovakia,SK,237.0,282.21,65.96,20.17,entsoe.eu,False,
2021-01-05 08:00:00,Slovakia,Slovakia,SK,241.94,287.72,64.65,18.77,entsoe.eu,False,
2021-01-05 09:00:00,Slovakia,Slovakia,SK,237.34,283.98,64.07,16.85,entsoe.eu,False,
2021-01-05 10:00:00,Slovakia,Slovakia,SK,235.15,281.84,64.14,17.0,entsoe.eu,False,
2021-01-05 11:00:00,Slovakia,Slovakia,SK,232.66,279.78,64.25,16.8,entsoe.eu,False,
2021-01-05 12:00:00,Slovakia,Slovakia,SK,213.44,260.94,65.73,17.35,entsoe.eu,False,
2021-01-05 13:00:00,Slovakia,Slovakia,SK,223.48,271.23,64.7,16.66,entsoe.eu,False,
2021-01-05 14:00:00,Slovakia,Slovakia,SK,262.6,311.19,61.53,16.01,entsoe.eu,False,
2021-01-05 15:00:00,Slovakia,Slovakia,SK,276.35,320.27,63.9,22.8,entsoe.eu,False,
2021-01-05 16:00:00,Slovakia,Slovakia,SK,265.04,307.34,65.74,24.73,entsoe.eu,False,
2021-01-05 17:00:00,Slovakia,Slovakia,SK,247.5,290.38,66.19,23.11,entsoe.eu,False,
2021-01-05 18:00:00,Slovakia,Slovakia,SK,257.0,302.84,63.2,18.83,entsoe.eu,False,
2021-01-05 19:00:00,Slovakia,Slovakia,SK,265.11,311.87,62.07,15.79,entsoe.eu,False,
2021-01-05 20:00:00,Slovakia,Slovakia,SK,247.58,294.67,63.24,14.54,entsoe.eu,False,
2021-01-05 21:00:00,Slovakia,Slovakia,SK,216.0,264.69,64.75,12.62,entsoe.eu,False,
2021-01-05 22:00:00,Slovakia,Slovakia,SK,196.23,244.53,66.07,11.59,entsoe.eu,False,
2021-01-05 23:00:00,Slovakia,Slovakia,SK,205.89,253.59,65.78,11.76,entsoe.eu,False,
2021-01-06 00:00:00,Slovakia,Slovakia,SK,205.73,252.34,65.85,11.51,entsoe.eu,False,
2021-01-06 01:00:00,Slovakia,Slovakia,SK,193.76,239.6,66.97,12.17,entsoe.eu,False,
2021-01-06 02:00:00,Slovakia,Slovakia,SK,196.69,242.84,66.88,12.17,entsoe.eu,False,
2021-01-06 03:00:00,Slovakia,Slovakia,SK,201.94,248.46,66.43,12.08,entsoe.eu,False,
2021-01-06 04:00:00,Slovakia,Slovakia,SK,220.4,269.68,64.56,11.24,entsoe.eu,False,
2021-01-06 05:00:00,Slovakia,Slovakia,SK,246.98,299.17,61.74,11.86,entsoe.eu,False,
2021-01-06 06:00:00,Slovakia,Slovakia,SK,247.5,298.66,62.19,14.32,entsoe.eu,False,
2021-01-06 07:00:00,Slovakia,Slovakia,SK,232.49,282.31,64.03,16.57,entsoe.eu,False,
2021-01-06 08:00:00,Slovakia,Slovakia,SK,217.68,265.58,66.18,18.64,entsoe.eu,False,
2021-01-06 09:00:00,Slovakia,Slovakia,SK,225.37,275.2,64.47,15.63,entsoe.eu,False,
2021-01-06 10:00:00,Slovakia,Slovakia,SK,235.98,285.85,63.24,15.69,entsoe.eu,False,
2021-01-06 11:00:00,Slovakia,Slovakia,SK,226.5,275.67,64.36,16.42,entsoe.eu,False,
2021-01-06 12:00:00,Slovakia,Slovakia,SK,203.77,252.12,66.18,16.28,entsoe.eu,False,
2021-01-06 13:00:00,Slovakia,Slovakia,SK,203.85,252.37,66.12,16.25,entsoe.eu,False,
2021-01-06 14:00:00,Slovakia,Slovakia,SK,211.49,259.83,65.49,16.03,entsoe.eu,False,
2021-01-06 15:00:00,Slovakia,Slovakia,SK,238.92,283.6,65.72,20.56,entsoe.eu,False,
2021-01-06 16:00:00,Slovakia,Slovakia,SK,236.54,280.16,67.46,23.92,entsoe.eu,False,
2021-01-06 17:00:00,Slovakia,Slovakia,SK,244.66,289.9,65.88,21.86,entsoe.eu,False,
2021-01-06 18:00:00,Slovakia,Slovakia,SK,233.37,278.8,65.35,18.92,entsoe.eu,False,
2021-01-06 19:00:00,Slovakia,Slovakia,SK,251.88,299.29,62.57,14.77,entsoe.eu,False,
2021-01-06 20:00:00,Slovakia,Slovakia,SK,258.18,307.45,61.17,12.41,entsoe.eu,False,
2021-01-06 21:00:00,Slovakia,Slovakia,SK,234.81,285.18,62.45,10.79,entsoe.eu,False,
2021-01-06 22:00:00,Slovakia,Slovakia,SK,217.85,268.52,63.76,10.68,entsoe.eu,False,
2021-01-06 23:00:00,Slovakia,Slovakia,SK,189.71,237.42,66.61,10.07,entsoe.eu,False,
2021-01-07 00:00:00,Slovakia,Slovakia,SK,192.58,239.04,67.17,9.83,entsoe.eu,False,
2021-01-07 01:00:00,Slovakia,Slovakia,SK,204.81,253.52,65.06,9.81,entsoe.eu,False,
2021-01-07 02:00:00,Slovakia,Slovakia,SK,207.96,256.91,64.8,9.7,entsoe.eu,False,
2021-01-07 03:00:00,Slovakia,Slovakia,SK,221.59,272.61,63.26,9.95,entsoe.eu,False,
2021-01-07 04:00:00,Slovakia,Slovakia,SK,230.43,280.81,64.25,16.47,entsoe.eu,False,
2021-01-07 05:00:00,Slovakia,Slovakia,SK,284.02,335.03,60.07,17.24,entsoe.eu,False,
2021-01-07 06:00:00,Slovakia,Slovakia,SK,278.65,328.34,60.84,19.58,entsoe.eu,False,
2021-01-07 07:00:00,Slovakia,Slovakia,SK,281.33,331.23,60.57,18.99,entsoe.eu,False,
2021-01-07 08:00:00,Slovakia,Slovakia,SK,286.65,336.72,60.08,18.78,entsoe.eu,False,
2021-01-07 09:00:00,Slovakia,Slovakia,SK,247.77,296.49,62.97,18.03,entsoe.eu,False,
2021-01-07 10:00:00,Slovakia,Slovakia,SK,249.22,297.81,62.89,17.25,entsoe.eu,False,
2021-01-07 11:00:00,Slovakia,Slovakia,SK,205.88,251.91,66.74,17.79,entsoe.eu,False,
2021-01-07 12:00:00,Slovakia,Slovakia,SK,198.6,244.17,67.23,17.62,entsoe.eu,False,
2021-01-07 13:00:00,Slovakia,Slovakia,SK,208.21,254.32,66.22,16.67,entsoe.eu,False,
2021-01-07 14:00:00,Slovakia,Slovakia,SK,215.44,262.2,65.58,16.81,entsoe.eu,False,
2021-01-07 15:00:00,Slovakia,Slovakia,SK,220.3,263.59,68.3,22.92,entsoe.eu,False,
2021-01-07 16:00:00,Slovakia,Slovakia,SK,247.96,292.87,66.06,22.99,entsoe.eu,False,
2021-01-07 17:00:00,Slovakia,Slovakia,SK,259.39,303.99,65.25,22.7,entsoe.eu,False,
2021-01-07 18:00:00,Slovakia,Slovakia,SK,273.88,322.03,61.14,17.41,entsoe.eu,False,
2021-01-07 19:00:00,Slovakia,Slovakia,SK,278.5,326.89,60.19,15.51,entsoe.eu,False,
2021-01-07 20:00:00,Slovakia,Slovakia,SK,288.87,337.63,59.05,13.86,entsoe.eu,False,
2021-01-07 21:00:00,Slovakia,Slovakia,SK,277.75,326.39,59.41,11.17,entsoe.eu,False,
2021-01-07 22:00:00,Slovakia,Slovakia,SK,279.97,329.77,58.84,9.45,entsoe.eu,False,
2021-01-07 23:00:00,Slovakia,Slovakia,SK,244.0,295.27,61.65,10.02,entsoe.eu,False,
2021-01-08 00:00:00,Slovakia,Slovakia,SK,235.39,286.33,62.37,9.91,entsoe.eu,False,
2021-01-08 01:00:00,Slovakia,Slovakia,SK,215.82,265.91,63.88,10.2,entsoe.eu,False,
2021-01-08 02:00:00,Slovakia,Slovakia,SK,217.09,266.97,64.16,10.14,entsoe.eu,False,
2021-01-08 03:00:00,Slovakia,Slovakia,SK,230.95,282.03,62.71,10.16,entsoe.eu,False,
2021-01-08 04:00:00,Slovakia,Slovakia,SK,282.58,333.73,58.6,9.52,entsoe.eu,False,
2021-01-08 05:00:00,Slovakia,Slovakia,SK,329.98,381.47,55.07,10.56,entsoe.eu,False,
2021-01-08 06:00:00,Slovakia,Slovakia,SK,321.08,372.22,56.1,13.05,entsoe.eu,False,
2021-01-08 07:00:00,Slovakia,Slovakia,SK,275.35,321.66,61.73,17.54,entsoe.eu,False,
2021-01-08 08:00:00,Slovakia,Slovakia,SK,263.56,309.18,62.79,18.53,entsoe.eu,False,
2021-01-08 09:00:00,Slovakia,Slovakia,SK,251.12,296.44,63.36,17.4,entsoe.eu,False,
2021-01-08 10:00:00,Slovakia,Slovakia,SK,242.0,287.0,64.04,17.87,entsoe.eu,False,
2021-01-08 11:00:00,Slovakia,Slovakia,SK,219.95,265.33,65.52,17.94,entsoe.eu,False,
2021-01-08 12:00:00,Slovakia,Slovakia,SK,188.37,233.06,67.82,17.34,entsoe.eu,False,
2021-01-08 13:00:00,Slovakia,Slovakia,SK,323.55,369.01,57.25,14.92,entsoe.eu,False,
2021-01-08 14:00:00,Slovakia,Slovakia,SK,223.18,265.64,66.39,18.08,entsoe.eu,False,
2021-01-08 15:00:00,Slovakia,Slovakia,SK,176.35,216.17,73.09,25.39,entsoe.eu,False,
2021-01-08 16:00:00,Slovakia,Slovakia,SK,205.48,247.22,70.68,26.2,entsoe.eu,False,
2021-01-08 17:00:00,Slovakia,Slovakia,SK,222.21,264.43,69.44,25.01,entsoe.eu,False,
2021-01-08 18:00:00,Slovakia,Slovakia,SK,214.71,258.89,68.01,21.17,entsoe.eu,False,
2021-01-08 19:00:00,Slovakia,Slovakia,SK,236.47,283.3,64.38,16.38,entsoe.eu,False,
2021-01-08 20:00:00,Slovakia,Slovakia,SK,248.81,296.4,62.99,14.82,entsoe.eu,False,
2021-01-08 21:00:00,Slovakia,Slovakia,SK,238.7,284.94,63.53,11.43,entsoe.eu,False,
2021-01-08 22:00:00,Slovakia,Slovakia,SK,215.42,262.13,65.26,11.15,entsoe.eu,False,
2021-01-08 23:00:00,Slovakia,Slovakia,SK,176.88,222.7,68.44,11.5,entsoe.eu,False,
2021-01-09 00:00:00,Slovakia,Slovakia,SK,174.39,218.63,69.77,11.59,entsoe.eu,False,
2021-01-09 01:00:00,Slovakia,Slovakia,SK,202.17,249.78,66.21,11.34,entsoe.eu,False,
2021-01-09 02:00:00,Slovakia,Slovakia,SK,192.81,239.9,66.79,10.49,entsoe.eu,False,
2021-01-09 03:00:00,Slovakia,Slovakia,SK,190.74,237.03,67.8,10.4,entsoe.eu,False,
2021-01-09 04:00:00,Slovakia,Slovakia,SK,195.96,243.99,66.73,10.6,entsoe.eu,False,
2021-01-09 05:00:00,Slovakia,Slovakia,SK,211.41,261.85,65.0,12.63,entsoe.eu,False,
2021-01-09 06:00:00,Slovakia,Slovakia,SK,239.98,288.5,63.61,15.18,entsoe.eu,False,
2021-01-09 07:00:00,Slovakia,Slovakia,SK,244.0,291.91,63.2,15.55,entsoe.eu,False,
2021-01-09 08:00:00,Slovakia,Slovakia,SK,237.3,283.81,63.94,16.4,entsoe.eu,False,
2021-01-09 09:00:00,Slovakia,Slovakia,SK,261.15,308.51,62.08,16.55,entsoe.eu,False,
2021-01-09 10:00:00,Slovakia,Slovakia,SK,261.91,308.27,62.36,17.12,entsoe.eu,False,
2021-01-09 11:00:00,Slovakia,Slovakia,SK,258.59,305.32,62.54,17.05,entsoe.eu,False,
2021-01-09 12:00:00,Slovakia,Slovakia,SK,256.84,304.2,62.37,16.41,entsoe.eu,False,
2021-01-09 13:00:00,Slovakia,Slovakia,SK,256.18,303.99,62.21,15.75,entsoe.eu,False,
2021-01-09 14:00:00,Slovakia,Slovakia,SK,269.68,318.03,60.79,14.89,entsoe.eu,False,
2021-01-09 15:00:00,Slovakia,Slovakia,SK,290.49,337.8,59.58,16.11,entsoe.eu,False,
2021-01-09 16:00:00,Slovakia,Slovakia,SK,282.57,328.73,60.75,16.86,entsoe.eu,False,
2021-01-09 17:00:00,Slovakia,Slovakia,SK,287.56,334.25,60.3,15.68,entsoe.eu,False,
2021-01-09 18:00:00,Slovakia,Slovakia,SK,285.02,331.51,60.41,15.41,entsoe.eu,False,
2021-01-09 19:00:00,Slovakia,Slovakia,SK,297.95,345.87,58.95,13.62,entsoe.eu,False,
2021-01-09 20:00:00,Slovakia,Slovakia,SK,266.64,313.12,61.37,13.68,entsoe.eu,False,
2021-01-09 21:00:00,Slovakia,Slovakia,SK,245.88,292.86,63.18,11.58,entsoe.eu,False,
2021-01-09 22:00:00,Slovakia,Slovakia,SK,226.74,276.28,64.22,10.41,entsoe.eu,False,
2021-01-09 23:00:00,Slovakia,Slovakia,SK,211.62,261.9,65.3,10.51,entsoe.eu,False,
2021-01-10 00:00:00,Slovakia,Slovakia,SK,214.24,263.43,66.13,10.88,entsoe.eu,False,
2021-01-10 01:00:00,Slovakia,Slovakia,SK,231.03,281.73,64.42,10.26,entsoe.eu,False,
2021-01-10 02:00:00,Slovakia,Slovakia,SK,232.92,283.78,64.28,10.2,entsoe.eu,False,
2021-01-10 03:00:00,Slovakia,Slovakia,SK,232.79,283.66,64.29,10.28,entsoe.eu,False,
2021-01-10 04:00:00,Slovakia,Slovakia,SK,232.06,282.89,64.26,10.27,entsoe.eu,False,
2021-01-10 05:00:00,Slovakia,Slovakia,SK,239.33,289.35,64.19,12.86,entsoe.eu,False,
2021-01-10 06:00:00,Slovakia,Slovakia,SK,251.74,300.0,63.9,15.65,entsoe.eu,False,
2021-01-10 07:00:00,Slovakia,Slovakia,SK,284.05,332.84,60.79,14.75,entsoe.eu,False,
2021-01-10 08:00:00,Slovakia,Slovakia,SK,291.82,340.23,60.04,15.44,entsoe.eu,False,
2021-01-10 09:00:00,Slovakia,Slovakia,SK,286.71,333.49,60.86,16.02,entsoe.eu,False,
2021-01-10 10:00:00,Slovakia,Slovakia,SK,296.72,342.67,60.67,16.93,entsoe.eu,False,
2021-01-10 11:00:00,Slovakia,Slovakia,SK,290.92,337.66,60.7,16.03,entsoe.eu,False,
2021-01-10 12:00:00,Slovakia,Slovakia,SK,277.09,323.13,61.62,15.35,entsoe.eu,False,
2021-01-10 13:00:00,Slovakia,Slovakia,SK,268.74,315.02,62.15,14.78,entsoe.eu,False,
2021-01-10 14:00:00,Slovakia,Slovakia,SK,271.74,317.85,61.97,14.43,entsoe.eu,False,
2021-01-10 15:00:00,Slovakia,Slovakia,SK,295.53,341.43,60.42,15.65,entsoe.eu,False,
2021-01-10 16:00:00,Slovakia,Slovakia,SK,276.53,321.55,62.11,17.0,entsoe.eu,False,
2021-01-10 17:00:00,Slovakia,Slovakia,SK,259.52,304.5,63.51,17.47,entsoe.eu,False,
2021-01-10 18:00:00,Slovakia,Slovakia,SK,256.9,302.15,63.51,17.04,entsoe.eu,False,
2021-01-10 19:00:00,Slovakia,Slovakia,SK,260.98,307.28,62.8,15.71,entsoe.eu,False,
2021-01-10 20:00:00,Slovakia,Slovakia,SK,249.59,297.82,63.25,15.54,entsoe.eu,False,
2021-01-10 21:00:00,Slovakia,Slovakia,SK,215.76,264.99,65.22,13.26,entsoe.eu,False,
2021-01-10 22:00:00,Slovakia,Slovakia,SK,196.82,244.85,67.06,11.36,entsoe.eu,False,
2021-01-10 23:00:00,Slovakia,Slovakia,SK,208.85,256.0,66.82,10.65,entsoe.eu,False,
2021-01-11 00:00:00,Slovakia,Slovakia,SK,205.35,253.74,66.83,10.46,entsoe.eu,False,
2021-01-11 01:00:00,Slovakia,Slovakia,SK,214.06,262.83,66.0,10.5,entsoe.eu,False,
2021-01-11 02:00:00,Slovakia,Slovakia,SK,217.6,266.58,65.71,10.51,entsoe.eu,False,
2021-01-11 03:00:00,Slovakia,Slovakia,SK,218.89,267.62,65.69,10.89,entsoe.eu,False,
2021-01-11 04:00:00,Slovakia,Slovakia,SK,260.12,307.98,62.69,10.71,entsoe.eu,False,
2021-01-11 05:00:00,Slovakia,Slovakia,SK,272.82,319.61,61.34,12.54,entsoe.eu,False,
2021-01-11 06:00:00,Slovakia,Slovakia,SK,292.19,337.83,60.57,16.4,entsoe.eu,False,
2021-01-11 07:00:00,Slovakia,Slovakia,SK,293.31,337.24,62.14,20.4,entsoe.eu,False,
2021-01-11 08:00:00,Slovakia,Slovakia,SK,300.73,345.24,61.14,19.88,entsoe.eu,False,
2021-01-11 09:00:00,Slovakia,Slovakia,SK,287.48,332.15,61.45,18.99,entsoe.eu,False,
2021-01-11 10:00:00,Slovakia,Slovakia,SK,298.37,342.95,60.91,19.97,entsoe.eu,False,
2021-01-11 11:00:00,Slovakia,Slovakia,SK,292.88,338.26,60.98,19.38,entsoe.eu,False,
