Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Austria,Austria,AT,276.51,322.97,56.54,40.68,entsoe.eu,False,
2021-01-01 01:00:00,Austria,Austria,AT,278.51,322.11,55.52,38.78,entsoe.eu,False,
2021-01-01 02:00:00,Austria,Austria,AT,267.2,305.9,56.29,39.22,entsoe.eu,False,
2021-01-01 03:00:00,Austria,Austria,AT,265.05,302.98,56.67,39.18,entsoe.eu,False,
2021-01-01 04:00:00,Austria,Austria,AT,272.7,311.27,55.47,37.84,entsoe.eu,False,
2021-01-01 05:00:00,Austria,Austria,AT,276.27,319.15,55.34,37.94,entsoe.eu,False,
2021-01-01 06:00:00,Austria,Austria,AT,275.58,319.67,54.09,37.6,entsoe.eu,False,
2021-01-01 07:00:00,Austria,Austria,AT,265.9,308.58,55.52,39.64,entsoe.eu,False,
2021-01-01 08:00:00,Austria,Austria,AT,265.44,309.09,56.14,41.04,entsoe.eu,False,
2021-01-01 09:00:00,Austria,Austria,AT,263.33,309.24,57.04,41.62,entsoe.eu,False,
2021-01-01 10:00:00,Austria,Austria,AT,256.2,303.11,58.02,43.35,entsoe.eu,False,
2021-01-01 11:00:00,Austria,Austria,AT,248.91,300.35,58.74,44.71,entsoe.eu,False,
2021-01-01 12:00:00,Austria,Austria,AT,257.89,300.03,56.95,42.86,entsoe.eu,False,
2021-01-01 13:00:00,Austria,Austria,AT,262.48,305.56,56.38,42.09,entsoe.eu,False,
2021-01-01 14:00:00,Austria,Austria,AT,258.56,302.85,57.0,42.81,entsoe.eu,False,
2021-01-01 15:00:00,Austria,Austria,AT,251.54,293.61,58.48,45.7,entsoe.eu,False,
2021-01-01 16:00:00,Austria,Austria,AT,236.25,275.69,64.93,54.65,entsoe.eu,False,
2021-01-01 17:00:00,Austria,Austria,AT,234.38,276.81,65.68,55.66,entsoe.eu,False,
2021-01-01 18:00:00,Austria,Austria,AT,242.23,285.2,64.04,54.03,entsoe.eu,False,
2021-01-01 19:00:00,Austria,Austria,AT,258.57,307.19,59.67,48.3,entsoe.eu,False,
2021-01-01 20:00:00,Austria,Austria,AT,272.78,323.46,55.44,42.29,entsoe.eu,False,
2021-01-01 21:00:00,Austria,Austria,AT,281.09,333.72,53.98,39.49,entsoe.eu,False,
2021-01-01 22:00:00,Austria,Austria,AT,285.3,337.22,52.72,37.36,entsoe.eu,False,
2021-01-01 23:00:00,Austria,Austria,AT,281.59,330.31,52.79,36.47,entsoe.eu,False,
2021-01-02 00:00:00,Austria,Austria,AT,272.09,318.52,54.26,37.39,entsoe.eu,False,
2021-01-02 01:00:00,Austria,Austria,AT,266.58,311.58,54.49,37.54,entsoe.eu,False,
2021-01-02 02:00:00,Austria,Austria,AT,272.47,308.12,53.99,36.98,entsoe.eu,False,
2021-01-02 03:00:00,Austria,Austria,AT,257.45,295.26,56.69,40.25,entsoe.eu,False,
2021-01-02 04:00:00,Austria,Austria,AT,265.23,305.83,55.75,39.86,entsoe.eu,False,
2021-01-02 05:00:00,Austria,Austria,AT,254.56,296.65,56.6,42.71,entsoe.eu,False,
2021-01-02 06:00:00,Austria,Austria,AT,252.15,301.44,57.7,44.65,entsoe.eu,False,
2021-01-02 07:00:00,Austria,Austria,AT,251.36,293.41,57.63,45.25,entsoe.eu,False,
2021-01-02 08:00:00,Austria,Austria,AT,254.84,300.19,58.33,46.5,entsoe.eu,False,
2021-01-02 09:00:00,Austria,Austria,AT,250.92,296.73,59.18,47.66,entsoe.eu,False,
2021-01-02 10:00:00,Austria,Austria,AT,237.16,281.96,60.95,50.21,entsoe.eu,False,
2021-01-02 11:00:00,Austria,Austria,AT,232.85,273.17,61.31,50.79,entsoe.eu,False,
2021-01-02 12:00:00,Austria,Austria,AT,230.46,274.0,61.36,50.76,entsoe.eu,False,
2021-01-02 13:00:00,Austria,Austria,AT,241.33,284.64,59.84,49.3,entsoe.eu,False,
2021-01-02 14:00:00,Austria,Austria,AT,224.64,266.54,61.69,51.98,entsoe.eu,False,
2021-01-02 15:00:00,Austria,Austria,AT,213.1,255.74,64.73,57.05,entsoe.eu,False,
2021-01-02 16:00:00,Austria,Austria,AT,207.11,247.7,69.25,63.59,entsoe.eu,False,
2021-01-02 17:00:00,Austria,Austria,AT,203.85,243.1,69.96,64.97,entsoe.eu,False,
2021-01-02 18:00:00,Austria,Austria,AT,208.7,252.02,69.07,63.44,entsoe.eu,False,
2021-01-02 19:00:00,Austria,Austria,AT,239.93,289.38,62.38,53.7,entsoe.eu,False,
2021-01-02 20:00:00,Austria,Austria,AT,250.24,300.4,59.98,50.01,entsoe.eu,False,
2021-01-02 21:00:00,Austria,Austria,AT,232.9,280.12,60.97,50.72,entsoe.eu,False,
2021-01-02 22:00:00,Austria,Austria,AT,225.67,267.49,60.87,50.2,entsoe.eu,False,
2021-01-02 23:00:00,Austria,Austria,AT,199.82,237.05,66.93,57.81,entsoe.eu,False,
2021-01-03 00:00:00,Austria,Austria,AT,185.84,224.21,69.59,59.08,entsoe.eu,False,
2021-01-03 01:00:00,Austria,Austria,AT,189.21,231.16,68.82,55.71,entsoe.eu,False,
2021-01-03 02:00:00,Austria,Austria,AT,216.61,253.02,65.53,51.3,entsoe.eu,False,
2021-01-03 03:00:00,Austria,Austria,AT,233.4,263.34,62.97,48.03,entsoe.eu,False,
2021-01-03 04:00:00,Austria,Austria,AT,239.76,274.91,60.13,46.33,entsoe.eu,False,
2021-01-03 05:00:00,Austria,Austria,AT,231.99,272.38,61.85,48.05,entsoe.eu,False,
2021-01-03 06:00:00,Austria,Austria,AT,237.36,275.45,62.02,48.12,entsoe.eu,False,
2021-01-03 07:00:00,Austria,Austria,AT,241.88,287.69,60.97,48.79,entsoe.eu,False,
2021-01-03 08:00:00,Austria,Austria,AT,246.55,293.34,59.44,48.38,entsoe.eu,False,
2021-01-03 09:00:00,Austria,Austria,AT,242.58,293.34,58.54,49.04,entsoe.eu,False,
2021-01-03 10:00:00,Austria,Austria,AT,235.47,285.89,59.48,50.84,entsoe.eu,False,
2021-01-03 11:00:00,Austria,Austria,AT,239.12,290.92,59.34,50.5,entsoe.eu,False,
2021-01-03 12:00:00,Austria,Austria,AT,236.99,285.12,61.98,51.95,entsoe.eu,False,
2021-01-03 13:00:00,Austria,Austria,AT,246.06,293.19,60.9,50.2,entsoe.eu,False,
2021-01-03 14:00:00,Austria,Austria,AT,252.31,300.36,60.93,50.03,entsoe.eu,False,
2021-01-03 15:00:00,Austria,Austria,AT,255.72,309.09,61.13,51.85,entsoe.eu,False,
2021-01-03 16:00:00,Austria,Austria,AT,261.36,312.16,61.43,52.58,entsoe.eu,False,
2021-01-03 17:00:00,Austria,Austria,AT,272.62,323.68,60.01,50.39,entsoe.eu,False,
2021-01-03 18:00:00,Austria,Austria,AT,272.03,324.1,58.66,48.75,entsoe.eu,False,
2021-01-03 19:00:00,Austria,Austria,AT,268.97,321.95,59.08,49.51,entsoe.eu,False,
2021-01-03 20:00:00,Austria,Austria,AT,278.49,330.1,57.04,45.22,entsoe.eu,False,
2021-01-03 21:00:00,Austria,Austria,AT,286.45,338.35,54.85,40.5,entsoe.eu,False,
2021-01-03 22:00:00,Austria,Austria,AT,282.9,329.82,55.31,39.96,entsoe.eu,False,
2021-01-03 23:00:00,Austria,Austria,AT,277.73,327.4,58.81,42.0,entsoe.eu,False,
2021-01-04 00:00:00,Austria,Austria,AT,288.31,332.25,56.9,39.31,entsoe.eu,False,
2021-01-04 01:00:00,Austria,Austria,AT,293.04,338.14,56.68,38.59,entsoe.eu,False,
2021-01-04 02:00:00,Austria,Austria,AT,293.03,339.4,57.11,39.21,entsoe.eu,False,
2021-01-04 03:00:00,Austria,Austria,AT,295.67,338.63,56.48,39.54,entsoe.eu,False,
2021-01-04 04:00:00,Austria,Austria,AT,312.14,359.39,55.02,38.4,entsoe.eu,False,
2021-01-04 05:00:00,Austria,Austria,AT,325.49,385.19,51.48,39.07,entsoe.eu,False,
2021-01-04 06:00:00,Austria,Austria,AT,305.83,359.96,57.44,49.2,entsoe.eu,False,
2021-01-04 07:00:00,Austria,Austria,AT,286.49,335.97,62.3,55.71,entsoe.eu,False,
2021-01-04 08:00:00,Austria,Austria,AT,255.39,297.86,68.75,63.72,entsoe.eu,False,
2021-01-04 09:00:00,Austria,Austria,AT,266.59,312.22,66.17,60.44,entsoe.eu,False,
2021-01-04 10:00:00,Austria,Austria,AT,258.48,299.87,68.65,63.48,entsoe.eu,False,
2021-01-04 11:00:00,Austria,Austria,AT,267.66,312.82,66.49,61.0,entsoe.eu,False,
2021-01-04 12:00:00,Austria,Austria,AT,253.68,296.65,68.42,63.52,entsoe.eu,False,
2021-01-04 13:00:00,Austria,Austria,AT,272.81,320.29,64.33,58.3,entsoe.eu,False,
2021-01-04 14:00:00,Austria,Austria,AT,293.57,345.35,58.73,50.76,entsoe.eu,False,
2021-01-04 15:00:00,Austria,Austria,AT,301.46,354.27,58.87,51.27,entsoe.eu,False,
2021-01-04 16:00:00,Austria,Austria,AT,271.18,315.57,65.93,60.15,entsoe.eu,False,
2021-01-04 17:00:00,Austria,Austria,AT,282.52,330.84,61.61,54.3,entsoe.eu,False,
2021-01-04 18:00:00,Austria,Austria,AT,298.13,353.21,55.62,47.02,entsoe.eu,False,
2021-01-04 19:00:00,Austria,Austria,AT,324.52,386.07,51.25,41.71,entsoe.eu,False,
2021-01-04 20:00:00,Austria,Austria,AT,332.57,396.04,49.21,38.49,entsoe.eu,False,
2021-01-04 21:00:00,Austria,Austria,AT,340.57,401.98,48.62,36.63,entsoe.eu,False,
2021-01-04 22:00:00,Austria,Austria,AT,324.79,380.85,49.53,36.45,entsoe.eu,False,
2021-01-04 23:00:00,Austria,Austria,AT,304.48,353.6,52.37,38.01,entsoe.eu,False,
2021-01-05 00:00:00,Austria,Austria,AT,292.03,341.83,54.95,40.78,entsoe.eu,False,
2021-01-05 01:00:00,Austria,Austria,AT,293.83,344.43,56.66,41.1,entsoe.eu,False,
2021-01-05 02:00:00,Austria,Austria,AT,296.85,342.95,56.6,40.54,entsoe.eu,False,
2021-01-05 03:00:00,Austria,Austria,AT,307.45,351.51,54.23,38.9,entsoe.eu,False,
2021-01-05 04:00:00,Austria,Austria,AT,312.76,362.66,52.78,39.71,entsoe.eu,False,
2021-01-05 05:00:00,Austria,Austria,AT,315.14,373.24,51.86,41.07,entsoe.eu,False,
2021-01-05 06:00:00,Austria,Austria,AT,275.6,326.37,59.49,53.03,entsoe.eu,False,
2021-01-05 07:00:00,Austria,Austria,AT,245.24,289.22,65.48,61.32,entsoe.eu,False,
2021-01-05 08:00:00,Austria,Austria,AT,240.43,286.22,65.61,61.73,entsoe.eu,False,
2021-01-05 09:00:00,Austria,Austria,AT,240.85,285.25,65.1,60.73,entsoe.eu,False,
2021-01-05 10:00:00,Austria,Austria,AT,245.1,288.51,64.51,59.73,entsoe.eu,False,
2021-01-05 11:00:00,Austria,Austria,AT,249.02,295.75,61.59,56.14,entsoe.eu,False,
2021-01-05 12:00:00,Austria,Austria,AT,257.3,304.06,59.53,53.54,entsoe.eu,False,
2021-01-05 13:00:00,Austria,Austria,AT,262.37,306.98,60.43,53.96,entsoe.eu,False,
2021-01-05 14:00:00,Austria,Austria,AT,252.52,299.74,63.23,57.0,entsoe.eu,False,
2021-01-05 15:00:00,Austria,Austria,AT,256.9,300.71,65.25,59.92,entsoe.eu,False,
2021-01-05 16:00:00,Austria,Austria,AT,241.32,283.07,68.25,63.98,entsoe.eu,False,
2021-01-05 17:00:00,Austria,Austria,AT,246.56,291.07,65.81,60.87,entsoe.eu,False,
2021-01-05 18:00:00,Austria,Austria,AT,260.81,310.12,60.58,54.98,entsoe.eu,False,
2021-01-05 19:00:00,Austria,Austria,AT,302.46,362.59,49.38,40.99,entsoe.eu,False,
2021-01-05 20:00:00,Austria,Austria,AT,320.39,375.93,50.1,39.24,entsoe.eu,False,
2021-01-05 21:00:00,Austria,Austria,AT,314.19,364.9,51.34,39.02,entsoe.eu,False,
2021-01-05 22:00:00,Austria,Austria,AT,310.88,361.74,51.64,38.41,entsoe.eu,False,
2021-01-05 23:00:00,Austria,Austria,AT,297.85,345.5,52.79,39.2,entsoe.eu,False,
2021-01-06 00:00:00,Austria,Austria,AT,296.48,343.67,52.67,39.13,entsoe.eu,False,
2021-01-06 01:00:00,Austria,Austria,AT,290.29,335.61,53.29,40.35,entsoe.eu,False,
2021-01-06 02:00:00,Austria,Austria,AT,285.35,331.85,54.74,42.04,entsoe.eu,False,
2021-01-06 03:00:00,Austria,Austria,AT,285.52,331.06,54.82,42.92,entsoe.eu,False,
2021-01-06 04:00:00,Austria,Austria,AT,285.78,328.95,55.08,44.06,entsoe.eu,False,
2021-01-06 05:00:00,Austria,Austria,AT,286.6,334.9,54.96,45.8,entsoe.eu,False,
2021-01-06 06:00:00,Austria,Austria,AT,287.25,337.42,53.98,45.8,entsoe.eu,False,
2021-01-06 07:00:00,Austria,Austria,AT,285.7,336.17,54.53,46.55,entsoe.eu,False,
2021-01-06 08:00:00,Austria,Austria,AT,272.53,322.82,57.67,50.29,entsoe.eu,False,
2021-01-06 09:00:00,Austria,Austria,AT,274.62,322.0,57.44,49.99,entsoe.eu,False,
2021-01-06 10:00:00,Austria,Austria,AT,244.06,284.6,64.21,57.77,entsoe.eu,False,
2021-01-06 11:00:00,Austria,Austria,AT,239.48,277.41,66.33,60.34,entsoe.eu,False,
2021-01-06 12:00:00,Austria,Austria,AT,235.73,275.06,65.47,59.16,entsoe.eu,False,
2021-01-06 13:00:00,Austria,Austria,AT,249.58,291.02,61.06,53.81,entsoe.eu,False,
2021-01-06 14:00:00,Austria,Austria,AT,249.71,292.87,62.03,55.13,entsoe.eu,False,
2021-01-06 15:00:00,Austria,Austria,AT,239.8,282.05,66.51,61.27,entsoe.eu,False,
2021-01-06 16:00:00,Austria,Austria,AT,232.55,271.31,70.42,66.16,entsoe.eu,False,
2021-01-06 17:00:00,Austria,Austria,AT,232.79,272.44,69.25,64.59,entsoe.eu,False,
2021-01-06 18:00:00,Austria,Austria,AT,238.69,280.6,67.86,63.03,entsoe.eu,False,
2021-01-06 19:00:00,Austria,Austria,AT,258.25,307.19,61.95,55.62,entsoe.eu,False,
2021-01-06 20:00:00,Austria,Austria,AT,294.02,349.44,54.37,45.57,entsoe.eu,False,
2021-01-06 21:00:00,Austria,Austria,AT,291.91,344.04,54.0,44.09,entsoe.eu,False,
2021-01-06 22:00:00,Austria,Austria,AT,267.37,322.62,56.24,46.37,entsoe.eu,False,
2021-01-06 23:00:00,Austria,Austria,AT,256.01,303.5,56.74,48.06,entsoe.eu,False,
2021-01-07 00:00:00,Austria,Austria,AT,261.19,307.13,56.63,47.38,entsoe.eu,False,
2021-01-07 01:00:00,Austria,Austria,AT,268.75,315.31,57.44,46.34,entsoe.eu,False,
2021-01-07 02:00:00,Austria,Austria,AT,269.16,312.43,57.63,46.1,entsoe.eu,False,
2021-01-07 03:00:00,Austria,Austria,AT,279.11,329.52,56.59,45.22,entsoe.eu,False,
2021-01-07 04:00:00,Austria,Austria,AT,281.85,338.63,55.92,45.27,entsoe.eu,False,
2021-01-07 05:00:00,Austria,Austria,AT,290.48,343.51,56.61,47.35,entsoe.eu,False,
2021-01-07 06:00:00,Austria,Austria,AT,239.74,278.28,68.44,62.61,entsoe.eu,False,
2021-01-07 07:00:00,Austria,Austria,AT,227.17,265.05,70.56,65.28,entsoe.eu,False,
2021-01-07 08:00:00,Austria,Austria,AT,228.28,266.08,70.91,65.85,entsoe.eu,False,
2021-01-07 09:00:00,Austria,Austria,AT,233.01,271.45,69.56,63.55,entsoe.eu,False,
2021-01-07 10:00:00,Austria,Austria,AT,238.11,275.04,68.92,62.55,entsoe.eu,False,
2021-01-07 11:00:00,Austria,Austria,AT,234.36,271.58,69.13,62.7,entsoe.eu,False,
2021-01-07 12:00:00,Austria,Austria,AT,236.37,273.53,69.06,62.75,entsoe.eu,False,
2021-01-07 13:00:00,Austria,Austria,AT,240.96,276.18,68.41,62.16,entsoe.eu,False,
2021-01-07 14:00:00,Austria,Austria,AT,241.19,278.26,69.16,63.1,entsoe.eu,False,
2021-01-07 15:00:00,Austria,Austria,AT,242.43,279.93,69.19,63.23,entsoe.eu,False,
2021-01-07 16:00:00,Austria,Austria,AT,240.82,277.68,70.14,64.58,entsoe.eu,False,
2021-01-07 17:00:00,Austria,Austria,AT,243.07,280.17,70.07,64.63,entsoe.eu,False,
2021-01-07 18:00:00,Austria,Austria,AT,244.4,283.95,68.2,62.74,entsoe.eu,False,
2021-01-07 19:00:00,Austria,Austria,AT,264.07,307.65,64.42,58.02,entsoe.eu,False,
2021-01-07 20:00:00,Austria,Austria,AT,306.36,360.14,54.14,44.81,entsoe.eu,False,
2021-01-07 21:00:00,Austria,Austria,AT,325.0,383.13,51.17,40.36,entsoe.eu,False,
2021-01-07 22:00:00,Austria,Austria,AT,336.04,393.22,49.12,37.55,entsoe.eu,False,
2021-01-07 23:00:00,Austria,Austria,AT,331.58,390.19,48.47,36.21,entsoe.eu,False,
2021-01-08 00:00:00,Austria,Austria,AT,325.22,380.65,48.5,36.49,entsoe.eu,False,
2021-01-08 01:00:00,Austria,Austria,AT,329.03,384.2,48.47,35.98,entsoe.eu,False,
2021-01-08 02:00:00,Austria,Austria,AT,336.89,392.26,47.58,34.8,entsoe.eu,False,
2021-01-08 03:00:00,Austria,Austria,AT,339.74,395.45,47.62,34.87,entsoe.eu,False,
2021-01-08 04:00:00,Austria,Austria,AT,349.58,408.21,47.39,35.32,entsoe.eu,False,
2021-01-08 05:00:00,Austria,Austria,AT,334.62,393.79,50.82,41.28,entsoe.eu,False,
2021-01-08 06:00:00,Austria,Austria,AT,272.38,314.99,65.21,59.42,entsoe.eu,False,
2021-01-08 07:00:00,Austria,Austria,AT,246.92,286.12,69.25,64.7,entsoe.eu,False,
2021-01-08 08:00:00,Austria,Austria,AT,237.97,277.12,70.1,65.87,entsoe.eu,False,
2021-01-08 09:00:00,Austria,Austria,AT,232.8,270.71,71.26,67.29,entsoe.eu,False,
2021-01-08 10:00:00,Austria,Austria,AT,229.77,266.75,71.49,67.53,entsoe.eu,False,
2021-01-08 11:00:00,Austria,Austria,AT,232.43,269.78,69.94,65.27,entsoe.eu,False,
2021-01-08 12:00:00,Austria,Austria,AT,233.98,270.69,68.87,63.46,entsoe.eu,False,
2021-01-08 13:00:00,Austria,Austria,AT,234.73,278.06,69.03,63.76,entsoe.eu,False,
2021-01-08 14:00:00,Austria,Austria,AT,228.24,266.52,71.17,66.69,entsoe.eu,False,
2021-01-08 15:00:00,Austria,Austria,AT,231.25,269.35,69.97,64.46,entsoe.eu,False,
2021-01-08 16:00:00,Austria,Austria,AT,237.85,277.11,68.89,63.07,entsoe.eu,False,
2021-01-08 17:00:00,Austria,Austria,AT,242.25,281.83,67.49,61.47,entsoe.eu,False,
2021-01-08 18:00:00,Austria,Austria,AT,232.93,272.08,68.25,62.61,entsoe.eu,False,
2021-01-08 19:00:00,Austria,Austria,AT,239.55,280.27,66.28,60.23,entsoe.eu,False,
2021-01-08 20:00:00,Austria,Austria,AT,279.77,329.69,58.34,49.75,entsoe.eu,False,
2021-01-08 21:00:00,Austria,Austria,AT,302.56,355.27,54.16,44.03,entsoe.eu,False,
2021-01-08 22:00:00,Austria,Austria,AT,301.76,355.77,53.55,42.69,entsoe.eu,False,
2021-01-08 23:00:00,Austria,Austria,AT,292.52,344.06,54.23,43.33,entsoe.eu,False,
2021-01-09 00:00:00,Austria,Austria,AT,300.85,352.6,53.09,41.51,entsoe.eu,False,
2021-01-09 01:00:00,Austria,Austria,AT,303.87,357.76,53.07,41.36,entsoe.eu,False,
2021-01-09 02:00:00,Austria,Austria,AT,310.02,363.38,52.54,40.31,entsoe.eu,False,
2021-01-09 03:00:00,Austria,Austria,AT,304.75,359.26,53.72,41.51,entsoe.eu,False,
2021-01-09 04:00:00,Austria,Austria,AT,318.55,369.55,52.21,39.6,entsoe.eu,False,
2021-01-09 05:00:00,Austria,Austria,AT,329.32,384.45,51.53,38.96,entsoe.eu,False,
2021-01-09 06:00:00,Austria,Austria,AT,341.86,399.06,50.55,38.63,entsoe.eu,False,
2021-01-09 07:00:00,Austria,Austria,AT,325.96,382.27,52.51,41.79,entsoe.eu,False,
2021-01-09 08:00:00,Austria,Austria,AT,275.06,324.34,60.94,53.39,entsoe.eu,False,
2021-01-09 09:00:00,Austria,Austria,AT,293.03,347.68,56.58,48.16,entsoe.eu,False,
2021-01-09 10:00:00,Austria,Austria,AT,287.2,342.31,57.5,49.63,entsoe.eu,False,
2021-01-09 11:00:00,Austria,Austria,AT,283.68,338.4,57.73,49.59,entsoe.eu,False,
2021-01-09 12:00:00,Austria,Austria,AT,313.01,371.98,53.14,43.82,entsoe.eu,False,
2021-01-09 13:00:00,Austria,Austria,AT,330.37,391.35,50.69,40.76,entsoe.eu,False,
2021-01-09 14:00:00,Austria,Austria,AT,331.6,391.82,51.39,41.78,entsoe.eu,False,
2021-01-09 15:00:00,Austria,Austria,AT,307.68,362.4,56.64,48.49,entsoe.eu,False,
2021-01-09 16:00:00,Austria,Austria,AT,264.72,309.37,66.02,59.98,entsoe.eu,False,
2021-01-09 17:00:00,Austria,Austria,AT,243.36,285.14,68.74,63.49,entsoe.eu,False,
2021-01-09 18:00:00,Austria,Austria,AT,264.32,311.38,65.02,59.08,entsoe.eu,False,
2021-01-09 19:00:00,Austria,Austria,AT,305.68,362.49,56.69,48.92,entsoe.eu,False,
2021-01-09 20:00:00,Austria,Austria,AT,338.01,399.96,50.97,41.46,entsoe.eu,False,
2021-01-09 21:00:00,Austria,Austria,AT,336.55,394.61,51.03,39.9,entsoe.eu,False,
2021-01-09 22:00:00,Austria,Austria,AT,321.09,376.7,52.36,40.67,entsoe.eu,False,
2021-01-09 23:00:00,Austria,Austria,AT,308.79,365.44,53.12,40.68,entsoe.eu,False,
2021-01-10 00:00:00,Austria,Austria,AT,307.97,360.69,52.31,38.72,entsoe.eu,False,
2021-01-10 01:00:00,Austria,Austria,AT,313.44,370.15,51.63,37.17,entsoe.eu,False,
2021-01-10 02:00:00,Austria,Austria,AT,326.66,380.79,50.49,35.31,entsoe.eu,False,
2021-01-10 03:00:00,Austria,Austria,AT,329.68,383.99,50.1,34.8,entsoe.eu,False,
2021-01-10 04:00:00,Austria,Austria,AT,331.75,388.37,50.27,34.87,entsoe.eu,False,
2021-01-10 05:00:00,Austria,Austria,AT,344.3,398.79,49.38,33.99,entsoe.eu,False,
2021-01-10 06:00:00,Austria,Austria,AT,346.55,404.64,50.06,35.1,entsoe.eu,False,
2021-01-10 07:00:00,Austria,Austria,AT,348.17,408.79,50.32,37.55,entsoe.eu,False,
2021-01-10 08:00:00,Austria,Austria,AT,332.63,391.93,53.17,42.6,entsoe.eu,False,
2021-01-10 09:00:00,Austria,Austria,AT,333.07,394.54,52.95,42.98,entsoe.eu,False,
2021-01-10 10:00:00,Austria,Austria,AT,324.44,383.89,55.33,46.12,entsoe.eu,False,
2021-01-10 11:00:00,Austria,Austria,AT,316.53,375.84,55.71,46.74,entsoe.eu,False,
2021-01-10 12:00:00,Austria,Austria,AT,321.54,384.21,53.79,44.34,entsoe.eu,False,
2021-01-10 13:00:00,Austria,Austria,AT,327.57,390.47,52.91,43.05,entsoe.eu,False,
2021-01-10 14:00:00,Austria,Austria,AT,344.12,409.29,49.8,39.17,entsoe.eu,False,
2021-01-10 15:00:00,Austria,Austria,AT,332.38,392.47,52.31,42.21,entsoe.eu,False,
2021-01-10 16:00:00,Austria,Austria,AT,301.27,352.53,59.11,49.93,entsoe.eu,False,
2021-01-10 17:00:00,Austria,Austria,AT,278.52,326.61,62.13,53.7,entsoe.eu,False,
2021-01-10 18:00:00,Austria,Austria,AT,285.01,337.44,58.83,50.21,entsoe.eu,False,
2021-01-10 19:00:00,Austria,Austria,AT,304.77,360.08,55.31,45.57,entsoe.eu,False,
2021-01-10 20:00:00,Austria,Austria,AT,315.93,372.61,53.68,41.84,entsoe.eu,False,
2021-01-10 21:00:00,Austria,Austria,AT,316.23,369.78,53.27,40.28,entsoe.eu,False,
2021-01-10 22:00:00,Austria,Austria,AT,327.1,377.73,51.19,35.84,entsoe.eu,False,
2021-01-10 23:00:00,Austria,Austria,AT,297.99,348.71,55.88,41.32,entsoe.eu,False,
2021-01-11 00:00:00,Austria,Austria,AT,290.23,343.37,56.74,42.15,entsoe.eu,False,
2021-01-11 01:00:00,Austria,Austria,AT,288.16,337.04,56.77,42.31,entsoe.eu,False,
2021-01-11 02:00:00,Austria,Austria,AT,293.37,343.1,55.13,40.96,entsoe.eu,False,
2021-01-11 03:00:00,Austria,Austria,AT,298.23,349.06,54.91,41.48,entsoe.eu,False,
2021-01-11 04:00:00,Austria,Austria,AT,310.45,361.66,54.53,41.59,entsoe.eu,False,
2021-01-11 05:00:00,Austria,Austria,AT,289.54,341.99,58.71,49.23,entsoe.eu,False,
2021-01-11 06:00:00,Austria,Austria,AT,256.15,297.99,68.69,62.73,entsoe.eu,False,
2021-01-11 07:00:00,Austria,Austria,AT,245.79,285.3,71.24,66.05,entsoe.eu,False,
2021-01-11 08:00:00,Austria,Austria,AT,263.75,308.1,66.63,60.13,entsoe.eu,False,
2021-01-11 09:00:00,Austria,Austria,AT,272.36,320.06,64.4,57.32,entsoe.eu,False,
2021-01-11 10:00:00,Austria,Austria,AT,267.69,313.41,65.72,58.86,entsoe.eu,False,
2021-01-11 11:00:00,Austria,Austria,AT,271.06,319.14,64.05,57.05,entsoe.eu,False,
2021-01-11 12:00:00,Austria,Austria,AT,282.67,334.29,61.36,53.92,entsoe.eu,False,
2021-01-11 13:00:00,Austria,Austria,AT,294.24,347.25,59.84,52.17,entsoe.eu,False,
2021-01-11 14:00:00,Austria,Austria,AT,296.28,349.08,59.8,52.2,entsoe.eu,False,
2021-01-11 15:00:00,Austria,Austria,AT,313.11,368.43,57.3,49.16,entsoe.eu,False,
2021-01-11 16:00:00,Austria,Austria,AT,308.35,362.06,58.21,50.5,entsoe.eu,False,
2021-01-11 17:00:00,Austria,Austria,AT,301.18,355.61,57.84,50.14,entsoe.eu,False,
2021-01-11 18:00:00,Austria,Austria,AT,303.68,361.23,55.85,47.68,entsoe.eu,False,
2021-01-11 19:00:00,Austria,Austria,AT,315.11,377.85,52.38,43.12,entsoe.eu,False,
2021-01-11 20:00:00,Austria,Austria,AT,303.4,365.05,54.35,44.21,entsoe.eu,False,
2021-01-11 21:00:00,Austria,Austria,AT,299.98,359.05,56.0,44.8,entsoe.eu,False,
2021-01-11 22:00:00,Austria,Austria,AT,289.91,347.98,56.87,45.23,entsoe.eu,False,
2021-01-11 23:00:00,Austria,Austria,AT,271.46,331.28,58.51,46.94,entsoe.eu,False,
2021-01-12 00:00:00,Austria,Austria,AT,274.14,332.03,58.47,45.93,entsoe.eu,False,
2021-01-12 01:00:00,Austria,Austria,AT,265.36,321.26,60.14,46.98,entsoe.eu,False,
2021-01-12 02:00:00,Austria,Austria,AT,265.41,321.93,60.07,46.93,entsoe.eu,False,
2021-01-12 03:00:00,Austria,Austria,AT,279.63,338.63,57.48,45.01,entsoe.eu,False,
2021-01-12 04:00:00,Austria,Austria,AT,302.93,367.13,53.18,42.65,entsoe.eu,False,
2021-01-12 05:00:00,Austria,Austria,AT,317.08,378.58,53.61,45.36,entsoe.eu,False,
2021-01-12 06:00:00,Austria,Austria,AT,301.33,354.71,59.19,52.81,entsoe.eu,False,
2021-01-12 07:00:00,Austria,Austria,AT,294.6,345.26,61.05,55.56,entsoe.eu,False,
